"ROLE_ID","CONTACT_ID","R01_ORG_NAME"
3,894,"Bodega Gosálbez Orti"
3,895,"Domecq Bodegas"
3,898,"Bodegas Chandon S.A."
3,901,"Bodegas y Viñedos Crotta SA"
3,904,"Bodegas y Viñedos - O. Fournier"
3,905,"Bodyguard Agency Ltd."
3,907,"Bohica Medical"
3,910,"Bollore"
3,911,"Bolsa de Comercio de Mendoza S.A."
3,912,"Bombeo Energia y Compactacion de Madrid (BECMA)"
3,914,"Bonanza Dominicana, C. POR A."
3,917,"Bonduelle"
3,919,"Bongrain S.A."
3,921,"Bonnie Delta"
3,923,"Bonum Publicum"
3,924,"BEM Management School"
3,929,"Bosal International"
3,938,"BM&FBovespa S.A."
3,953,"BP Plc"
3,957,"Brasserie Schutzenberger"
3,958,"Braz Logisitica International Ltda"
3,959,"Bred Gestion"
3,961,"Bridport Aviation Lanka (PVT) Ltd"
3,964,"Brisset "
3,968,"Broad Air Conditioning"
3,970,"Broedrene Hartmann A/S"
3,976,"Brooky Diamonds (PVT) Ltd"
3,978,"BS Colway Pneus Ltda."
3,980,"BSEC Business Council"
3,982,"BSH Bosch und Siemens Hausgeräte GmbH"
3,983,"BSI Americas, Inc."
3,986,"BT Group plc"
3,992,"BT España Compañía de Servicios Globales de Telecomunicaciones S.A.U."
3,993,"BTL Formation"
3,994,"BTM Bishara Textile Manufacturing Company"
3,996,"Buena Mano Crafts, Inc"
3,998,"Bufete Jurídico Sapena Soler Borras"
3,1003,"Bulacan Chamber of Commerce and Industry"
3,1007,"UniCredit Bulbank AD"
3,1009,"Bulent Tellioglu Berbey Degirmencilik"
3,1010,"Bulgaria Economic Forum"
3,1011,"Bulgarian American Credit Bank"
3,1013,"Bulgarian Building and Construction Chamber"
3,1014,"Bulgarian Charities Aid Foundation (BCAF)"
3,1015,"Bulgarian Donor's Forum"
3,1016,"Bull"
3,1017,"Buloneria Reginato S.R.L."
3,1018,"Bunag Kapunan Migallos & Perez"
3,1019,"Bur Distribution"
3,1020,"Burayu Spring Water p.l.c."
3,1022,"Bureau Veritas LIT, UAB"
3,1025,"Burgeap"
3,1028,"Business and Human Rights Resource Centre"
3,1029,"Business and Technology Development Strategies"
3,1030,"Business Arena"
3,1033,"Business Council for the United Nations"
3,1041,"Business for Social Responsibility "
3,1044,"Business Humanitarian Forum"
3,1048,"Business in the Community"
3,1051,"Business Keeper AG"
3,1054,"Business Language Skills"
3,1060,"Business West"
3,1061,"Business Womens Association for Development"
3,1063,"C International Legal & Tax Advice Abogados"
3,1065,"C.G Foods (Nepal) Pvt.Ltd."
3,1068,"C2 Consultants"
3,1069,"Cabinet Isabelle Didier"
3,1071,"CACHE-CACHE S.A."
3,1074,"Cadbury "
3,1075,"Cafes Malongo"
3,1078,"Cafes MEO"
3,1079,"Cairo for Investment and Development "
3,1086,"Caisse Nationale de Caisses d'Epargne et de Prevoyances"
3,1090,"Caixa Central de Credito Agricola Mutuo CRL"
3,1095,"Caixa Tarragona"
