ORG_NAME	BHRRC_URL
Autostrade	A/Autostrade
AutoZone	A/AutoZone
Avalon	A/Avalon
Avaya	A/Avaya
Aveda (part of Estée Lauder)	A/AvedapartofEsteLauder
Avent	A/Avent
Aventis (now part of Sanofi-Aventis)	A/AventisnowpartofSanofi-Aventis
Avery Dennison	A/AveryDennison
Avia Baltika	A/AviaBaltika
Avianca	A/Avianca
Aviation Development Corporation (ADC)	A/AviationDevelopmentCorporationADC
Aviatur	A/Aviatur
Avient Air	A/AvientAir
Avis Budget	A/AvisBudget
Aviva	A/Aviva
Avnel Gold	A/AvnelGold
Avon	A/Avon
AXA	A/AXA
Axel Springer	A/AxelSpringer
Axfood	A/Axfood
Axminster Carpets	A/AxminsterCarpets
Ayala	A/Ayala
AZSA & Co (part of KPMG)	A/AZSACopartofKPMG
Azteca Foods	A/AztecaFoods
Azucarera los Balcanes	A/AzucareralosBalcanes
B&H Photo-Video	B/BHPhoto-Video
B&Q (part of Kingfisher)	B/BQpartofKingfisher
B. Braun Melsungen	B/BBraunMelsungen
BAA (see British Airports Authority)	B/BAAseeBritishAirportsAuthority
Babelito	B/Babelito
Bacardi	B/Bacardi
BAE Systems	B/BAESystems
Bagan Cyber	B/BaganCyber
Bagir	B/Bagir
Bai Xing Magazine	B/BaiXingMagazine
Baidu	B/Baidu
Baiyin Non-ferrous Metal	B/BaiyinNon-ferrousMetal
Bajaj Auto	B/BajajAuto
Baker Hughes	B/BakerHughes
Bakwanga Mining Company (see MIBA)	B/BakwangaMiningCompanyseeMIBA
Baldor Electric	B/BaldorElectric
Balfour Beatty	B/BalfourBeatty
Ball Corp.	B/BallCorp
Ballarpur Industries	B/BallarpurIndustries
Bally Total Fitness	B/BallyTotalFitness
Banacol	B/Banacol
Banadex	B/Banadex
Banamex (part of Citigroup)	B/BanamexpartofCitigroup
Banana Republic (part of Gap)	B/BananaRepublicpartofGap
Banca Intesa (part of Intesa Sanpaolo)	B/BancaIntesapartofIntesaSanpaolo
Banca Nazionale del Lavoro	B/BancaNazionaledelLavoro
Bancaja	B/Bancaja
Banco Atlántida	B/BancoAtlntida
Banco Azteca	B/BancoAzteca
Banco BPI	B/BancoBPI
Banco Bradesco	B/BancoBradesco
Banco Caja Social	B/BancoCajaSocial
Banco Comercial Portugues	B/BancoComercialPortugues
Banco del Pichincha	B/BancodelPichincha
Banco do Brasil	B/BancodoBrasil
Banco Espírito Santo	B/BancoEspritoSanto
Banco Francés (part of BBVA)	B/BancoFrancspartofBBVA
Banco Galicia	B/BancoGalicia
Banco Itau	B/BancoItau
Banco Nacional de México (see Banamex)	B/BancoNacionaldeMxicoseeBanamex
Banco Real (part of ABN Amro)	B/BancoRealpartofABNAmro
Banco Santander (see Santander)	B/BancoSantanderseeSantander
Bancolombia	B/Bancolombia
Bandai	B/Bandai
Bandecua (part of Fresh Del Monte Produce)	B/BandecuapartofFreshDelMonteProduce
Bandeirante Energia	B/BandeiranteEnergia
Banesto	B/Banesto
Bangkok Bank	B/BangkokBank
Bank Austria Creditanstalt	B/BankAustriaCreditanstalt
Bank Hapoalim	B/BankHapoalim
Bank Negara Indonesia	B/BankNegaraIndonesia
Bank of America	B/BankofAmerica
Bank of China	B/BankofChina
Bank of Montreal	B/BankofMontreal
Bank of New York	B/BankofNewYork
Bank of Nova Scotia	B/BankofNovaScotia
Bank of Palestine	B/BankofPalestine
Bank of Tokyo-Mitsubishi	B/BankofTokyo-Mitsubishi
Bank One (part of JPMorgan Chase)	B/BankOnepartofJPMorganChase
Bank Sarasin	B/BankSarasin
Bank West (part of HBOS)	B/BankWestpartofHBOS
Banorte	B/Banorte
Banpu	B/Banpu
Banque Populaire (see Groupe Banque Populaire)	B/BanquePopulaireseeGroupeBanquePopulaire
Banyan Tree	B/BanyanTree
Baogang	B/Baogang
Baotou Iron & Steel (see Baogang)	B/BaotouIronSteelseeBaogang
Baran	B/Baran
