LIST_EXCHANGE_CODE	LIST_EXCHANGE_NAME	LIST_SECONDARY_CODE	LIST_TERTIARY_CODE	TR01_COUNTRY_ID
NSE	National Stock Exchange Of India	NS	XNSE	IN
INB	Jakarta Negotiated Board (Inb)		XJNB	ID
JAK	Jakarta Stock Exchange (Jak)	JK	XJKT	ID
ISE	Irish Stock Exchange	I	XDUB	IE
TLV	Tel Aviv Stock Exchange	TA	XTAE	IL
BIT	"Italian Exchange (Borsa Italiana, Milan)"	MI	XMIL	IT
NAG	Nagoya Stock Exchange	NG	XNGO	JP
JSD	Japanese Securities Dealers (Jsd) Jasdaq	Q	XJAS	JP
TYO	Tokyo Stock Exchange	T	XTKS	JP
AFM	Amman Stock Exchange	AM	XAMM	JO
KAS	Kazakhstan Stock Exchange	KZ	XKAZ	KZ
NBO	Nairobi Stock Exchange	NR	XNAI	KE
SEO	Korea Exchange (Stock Market)	KS	XKRX	KR
KDQ	Kosdaq	KQ	XKOS	KR
KUW	Kuwait Stock Exchange	KW	XKUW	KW
RSE	Riga Stock Exchange	RI	XRIS	LV
BEY	Beirut Stock Exchange (Bourse De Beyrouth)	BY	XBEY	LB
VSE	National Stock Exchange Of Lithuania (Vilnius)	VL	XLIT	LT
LUX	Luxembourg Stock Exchange	LU	XLUX	LU
MSE	Macedonian Stock Exchange		XMAE	MK
MAL	Malawi Stock Exchange		XMSW	MW
KUL	Kuala Lumpur Stock Exchange (Bursa Malaysia)	KL	XKLS	MY
MAS	Malta Stock Exchange	MT	XMAL	MT
MAU	"Stock Exchange Of Mauritius, The"	MZ	XMAU	MU
MXK	Bolsa Mexicana De Valores (Mexican Stock Exchange)	MX	XMEX	MX
NAM	Namibian Stock Exchange	NM	XNAM	NA
AMS	Euronext Amsterdam (Aex)	AS	XAMS	NL
NZE	New Zealand Stock Exchange	NZ	XNZE	NZ
NIG	Lagos Stock Exchange	LG	XNSA	NG
OSL	Oslo Stock Exchange (Oslo Bors)	OL	XOSL	NO
MSM	Muscat Stock Exchange (Oman)	OM	XMUS	OM
KAR	"Karachi Stock Exchange (Guarantee) Limited, The"	KA	XKAR	PK
PNS	"Bolsa De Valores De Panama, S.A."		XPTY	PA
LIN	Bolsa De Valores De Lima	LM	XLIM	PE
PSE	"Philippine Stock Exchange, Inc."	PS	XPHS	PH
WAR	Warsaw Stock Exchange	WA	XWAR	PL
ELI	Nyse Euronext ( Easynext Lisbon)	LS	ENXL	PT
DOH	Doha Securities Market	QA	DSMD	QA
BSE	Bucharest Stock Exchange		XBSE	RO
MCX	Moscow Stock Exchange	MO	XMOS	RU
RTB	Russian Trading System Stock Exchange (Rts)	RTS	RTSX	RU
SAU	Saudi Stock Exchange	SE	XSAU	SA
SIN	Singapore Stock Exchange	SI	XSES	SG
LJE	Ljubljana Stock Exchange (Ljse) Slovenia	LJ	XLJU	SI
JNB	Johannesburg Stock Exchange	J	XJSE	ZA
BCN	Barcelona Stock Exchange	BC	XBAR	ES
MAD	Bolsa De Madrid (Madrid Stock Exchange)	MA	XMAD	ES
VAL	Bolsa De Valencia	VA	XVAL	ES
MCE	Mercato Continuo Espanol (Bilbao Stock Exchange)	BI	XMCE	ES
COL	Colombo Stock Exchange	CM	XCOL	LK
STO	Om Stockholm Exchange	ST	XOME	SE
BRN	Berne Stock Exchange	BN	XBRN	CH
SWF	Swiss Exchange	S	XSWX	CH
BAK	"Bangkok, Thailand"	BK	BKK	TH
TUN	Bourse Des Valeurs Mobilieres (BRVM - Borse De Tunis)	TN	XTUN	TN
IST	Istanbul Stock Exchange	IS	XIST	TR
OFEX	London Stock Exchange (Ofex)			GB
SEA	London Stock Exchange (Sea)	L	XLON	GB
LON	"London Stock Exchange, The (Lon)"	L	XLON	GB
KSE	Kiev International Stock Exchange		XKIS	UA
