"ID","INITIATIVE_ID","ORG_ID","CONTACT_ID"
676,1,4579,30606823
678,1,5875,5127
679,1,7822,97426823
1123,2,574,74256823
687,1,6809,109896823
691,1,5875,109936823
697,1,2829,109996823
698,1,2829,110006823
699,1,2271,110016823
700,1,2193,110036823
133,2,4611,39496823
701,1,2193,110046823
702,1,2193,110026823
707,1,5145,110106823
750,2,2885,2512
1092,1,901,126016823
713,1,8326,110246823
815,4,6470,33406823
817,4,7591,23816823
845,4,5171,36116823
846,4,5841,5102
718,1,8328,110316823
146,2,5350,52496823
719,1,8328,110306823
720,1,8328,110296823
1093,1,1699,45656823
722,1,8330,110346823
723,1,3532,4226823
153,2,5900,5148
733,1,2088,1788
736,1,6286,110496823
737,1,6620,84756823
739,2,3788,110576823
742,2,3681,15146823
743,2,454,7146823
744,2,454,7156823
167,2,2134,79986823
746,2,4971,11396823
747,2,4494,4043
748,2,4494,90606823
751,2,2885,2511
754,2,734,7186823
755,2,6215,7066823
757,2,8444,113016823
758,2,423,23876823
182,2,27,84066823
183,2,52,66
186,2,204,10706823
187,2,216,13536823
188,2,219,224
189,2,219,67036823
190,2,284,281
191,2,284,99926823
192,2,286,49796823
193,2,311,14656823
194,2,313,23906823
195,2,315,307
196,2,332,48136823
197,2,332,48296823
198,2,333,322
199,2,376,347
200,2,380,352
201,2,482,439
202,2,543,54706823
760,2,5039,4472
204,2,561,30566823
205,2,561,78516823
206,2,563,42116823
207,2,563,4356823
208,2,594,537
209,2,594,72046823
212,2,618,38996823
213,2,720,616
214,2,736,76706823
215,2,739,626
216,2,739,99406823
217,2,763,636
219,2,794,672
220,2,822,703
221,2,822,70046823
223,2,869,37346823
224,2,869,34016823
225,2,901,803
226,2,901,796
227,2,911,63546823
228,2,947,36606823
229,2,1070,45856823
230,2,1088,968
231,2,1088,969
232,2,1186,1072
233,2,1186,68626823
234,2,1186,68616823
235,2,1186,99916823
236,2,1284,1154
237,2,1345,62886823
238,2,1373,22416823
239,2,1423,1263
240,2,1423,1264
241,2,1440,2426823
242,2,1548,46016823
243,2,1548,76376823
244,2,1548,100086823
245,2,1552,57346823
246,2,1609,41926823
247,2,1621,5026823
248,2,1621,77416823
249,2,1701,1467
250,2,1789,35706823
251,2,1805,1560
252,2,1877,44186823
253,2,1892,18366823
254,2,1925,1652
255,2,1925,1653
256,2,2016,53146823
257,2,2083,45916823
258,2,2083,45926823
259,2,2083,79956823
261,2,2103,1805
262,2,2116,40656823
263,2,2134,52766823
264,2,2166,1859
265,2,2173,1870
267,2,2239,34086823
269,2,2239,34096823
270,2,2262,38856823
271,2,2262,100106823
272,2,2271,40716823
273,2,2272,1943
276,2,2305,1970
278,2,2349,2023
279,2,2349,35876823
280,2,2349,80086823
281,2,2387,2055
282,2,2480,38986823
283,2,2510,2157
284,2,2522,2175
761,2,2642,113266823
286,2,2594,2227
287,2,2594,2226
289,2,2600,2237
291,2,2603,2240
292,2,2603,2242
293,2,2682,2325
294,2,2684,2328
295,2,2796,2434
296,2,2941,2563
297,2,2941,11756823
298,2,2941,11746823
299,2,3083,2681
300,2,3202,36626823
301,2,3211,74396823
303,2,3239,77456823
304,2,3239,2960
306,2,3301,3025
307,2,3301,3026
308,2,3383,3097
309,2,3402,3111
311,2,3580,47786823
1124,2,7580,137996823
313,2,3606,26006823
314,2,3668,39086823
315,2,3688,13706823
316,2,3704,46836823
317,2,3788,3455
318,2,3794,53406823
319,2,3819,3491
320,2,3832,36506823
322,2,3916,46886823
323,2,3931,3570
324,2,3953,75796823
325,2,4108,51606823
326,2,4179,52196823
327,2,4202,3864
329,2,4245,3906
330,2,4328,3946
331,2,4329,14846823
332,2,4366,3991
334,2,4392,64046823
335,2,4420,4014
772,1,7144,75976823
338,2,4475,3826823
340,2,4515,4060
341,2,4526,34856823
342,2,4563,64666823
343,2,4582,4123
344,2,4582,54616823
345,2,4592,55796823
347,2,4611,39506823
476,2,67,80
479,2,59,75
101,2,947,36596823
480,2,2294,100496823
103,2,975,16696823
104,2,6542,87066823
774,2,7940,100146823
482,2,2295,1963
107,2,1070,45846823
483,2,3253,24906823
484,2,3300,3024
775,2,2502,66606823
487,2,3446,3296823
116,2,313,23896823
117,2,6521,11246823
118,2,6961,6104
489,2,4822,83486823
490,2,4822,38216823
160,2,1552,55336823
495,2,5435,63076823
496,2,5957,6706823
497,2,6064,48716823
498,2,6064,5329
502,2,6204,100706823
505,2,6757,5913
506,2,6757,5914
511,2,7191,5289
512,2,7191,5290
513,2,7191,5287
518,2,4822,38416823
621,2,7492,104766823
1119,2,9107,133856823
670,2,4245,109726823
1109,4,2494,131056823
776,2,2502,2147
