"COUNTRY_ID","CASE_ID"
"AO","4B9B56F4-C976-4070-8881-E1C2E22BE0F1"
"AO","6D8E1B72-90C4-4B1B-9722-94B970FFE439"
"AO","830829C7-F294-4A5A-B5CE-D4D100D35B1D"
"AO","90B115D2-6773-46F7-80AB-312A6584AB38"
"AO","D2051F82-FAC0-4238-92F3-28D8A65BA828"
"AR","06F05D5A-D0F4-4B33-A7CC-7010764FC093"
"AR","10805938-A3A8-4F1C-84ED-C0F35A5FD8C4"
"AR","172BB77B-BA81-49F2-9861-AEBE68425B1D"
"AR","1BF59451-1209-4E12-8C03-84C1B2D58C70"
"AR","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
"AR","34DABE6A-D568-44A8-9BEC-5F89438E2C35"
"AR","389C54F4-2517-490C-88C2-B5F0E5CDA9FC"
"AR","3E204BF1-9CA5-4969-AC0B-7346B9D4F71C"
"AR","42F8BF5F-7C5D-4D73-A974-25F1BFCAAA4F"
"AR","4B9B56F4-C976-4070-8881-E1C2E22BE0F1"
"AR","54370cad-f800-0010-ac9f-b0919df0b9d6"
"AR","5E37E390-E450-4675-AFDC-CEFFA47712BE"
"AR","6D8E1B72-90C4-4B1B-9722-94B970FFE439"
"AR","806BB2FE-F5C0-4547-8586-19407AE8681A"
"AR","830829C7-F294-4A5A-B5CE-D4D100D35B1D"
"AR","882C4138-766D-4DB5-AB41-C14623F472E5"
"AR","8C5392AE-7745-4C44-A03C-34A786583C4D"
"AR","90B115D2-6773-46F7-80AB-312A6584AB38"
"AR","a5cbd665-0401-0010-b99c-8749beb9db18"
"AR","C97B67BA-77E7-4B3F-938B-832F131AD08F"
"AR","ce61715a-f900-0010-788b-ca3aade79093"
"AR","CFF3D152-ACB6-4217-AC14-5D661D5216B0"
"AR","D2051F82-FAC0-4238-92F3-28D8A65BA828"
"AR","EA488659-AA28-47C8-A853-48F71AF88F8C"
"AR","EEFB86FB-F6EF-4C36-A307-169084BBBF20"
"AT","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
"AT","34DABE6A-D568-44A8-9BEC-5F89438E2C35"
"AT","3c0b113d-f800-0010-a691-f9fe4409bc0c"
"AT","4B9B56F4-C976-4070-8881-E1C2E22BE0F1"
"AT","6D8E1B72-90C4-4B1B-9722-94B970FFE439"
"AT","830829C7-F294-4A5A-B5CE-D4D100D35B1D"
"AT","8C5392AE-7745-4C44-A03C-34A786583C4D"
"AT","90B115D2-6773-46F7-80AB-312A6584AB38"
"AT","A4CA8703-F310-4F72-B0D5-C1A83FBB7ADE"
"AT","B43D4325-1823-43E8-B597-B4CACEA58772"
"AT","b46cb16e-ff00-0010-f998-e6d4f53ede5b"
"AT","B951C131-3FA1-4BF8-B9D8-48F3DD8E3D2D"
"AT","C9F4402B-A89B-4A55-81BA-0385CEB7A156"
"AT","D2051F82-FAC0-4238-92F3-28D8A65BA828"
"AT","E01F7B5C-730B-4F22-BBD7-812783BF630B"
"AT","F34928C2-F86D-4353-B08D-8720F3E6C247"
"AU","10bbc447-f700-0010-0080-d75e54f851fd"
"AU","1650884a-f800-0010-b4b8-900a4f30cc93"
"AU","22313F7E-5DBD-4212-B525-3E3D23F1B32E"
