"COUNTRY_ID","COP_ID"
"AU","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"BR","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"CA","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"FR","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"DE","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"ID","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"MX","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"SG","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"ES","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"GB","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"US","26BB1FB6-7B46-4384-840F-A4D8444C7FC6                        "
"AF","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"AL","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"DZ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"AD","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"AO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"AG","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"AR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"AM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"AU","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"AT","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"AZ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BS","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BH","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BD","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BB","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BY","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BE","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BZ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BJ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BT","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BA","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BW","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"IO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BN","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BG","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BF","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"BI","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KH","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CA","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CV","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KY","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CF","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"TD","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CL","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CN","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CG","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CD","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CI","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"HR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CU","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CY","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"CZ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"DK","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"DJ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"DM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"DO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"TP","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
