"INTEREST_ID","CONTACT_ID","R01_ORG_NAME"
4,468,"Apindustria Vicenza"
4,973,"Broedrene Hartmann A/S"
4,1601,"William E. Connor & Associates Ltd"
4,1602,"William E. Connor & Associates Ltd"
4,3378,"Hope Worldwide-Pakistan"
4,4093,"Lazare Kaplan International Inc."
4,4108,"Ledesma SAAI"
4,4320,"Medekit.com"
4,4369,"Metsaliitto Group"
4,4456,"M-real Corporation"
4,4505,"National Youth Council Benin (NYC - Benin)"
4,4929,"Pirelli & C. S.p.A."
4,5967,"The Consortium for Purchasing and Distribution Ltd."
4,1406823,"Monex Grupo Financiero, S.A. de C.V."
4,9276823,"Riqras S.A. De C.V."
4,13456823,"4flow AG"
4,13856823,"Butek Machinery Co. A.S."
4,14186823,"Empresas Publicas de Medellin"
4,20406823,"Visteon Corporation"
4,22186823,"Network Systems"
4,31936823,"Wallenius Wilhemsen Logistics"
4,38126823,"IME - Imprimerie Moderne de l'Est"
4,40036823,"O Boticario"
4,41806823,"SGS Mozambique, Lda"
4,44986823,"Uretec S.A."
4,45056823,"S.C. Contor Group S.A."
4,45066823,"S.C. Contor Group S.A."
4,45916823,"Danfoss Group"
4,47356823,"Tinex - MT"
4,49336823,"ICA AB"
4,54616823,"Li & Fung Limited"
4,54626823,"Li & Fung Limited"
4,63106823,"Garant Vohitra Environnement"
4,73566823,"Endesa Italia SpA"
4,75516823,"National Grid plc"
4,82906823,"Uganda Chapter for Corporate Social Responsibility Initiatives - UCCSRI"
4,83796823,"Indian Oil Corporation Ltd."
4,88856823,"Novartis Corporativo, S.A. de C.V."
4,89696823,"Statoil Hydro"
4,90426823,"Finaxo-Environnement"
4,93826823,"TUV Rheinland Holding AG"
4,96956823,"China Petroleum and Chemical Corporation - Sinopec"
4,100976823,"Sansemen Government"
4,101006823,"4C Strategies AB"
4,103506823,"Dison Investment & Services Co. Ltd"
5,1485,"COHERIS"
5,1497,"College of Business Administration for Managers (CBAM)"
